Task Category,Complexity,Complexity Value,Experience,Actual Time (hrs)
Frontend,Low,1,1,3.95
Frontend,Low,1,2,3.22
Frontend,Low,1,3,2
Frontend,Low,1,4,2.81
Frontend,Low,1,5,2.77
Frontend,Low,1,6,2.57
Frontend,Low,1,7,2.26
Frontend,Low,1,8,1.66
Frontend,Low,1,9,1.53
Frontend,Low,1,10,2.12
Frontend,Low,1,11,1.89
Frontend,Low,1,12,1.29
Frontend,Low,1,13,0.9
Frontend,Low,1,14,0.81
Frontend,Low,1,15,1.2
Frontend,Medium,2,1,5.79
Frontend,Medium,2,2,6.85
Frontend,Medium,2,3,7.04
Frontend,Medium,2,4,4.49
Frontend,Medium,2,5,4.85
Frontend,Medium,2,6,4.09
Frontend,Medium,2,7,3.66
Frontend,Medium,2,8,5.08
Frontend,Medium,2,9,4.18
Frontend,Medium,2,10,3.92
Frontend,Medium,2,11,2.88
Frontend,Medium,2,12,2.27
Frontend,Medium,2,13,2.36
Frontend,Medium,2,14,2.79
Frontend,Medium,2,15,2.13
Frontend,High,3,1,11.87
Frontend,High,3,2,9.33
Frontend,High,3,3,12.02
Frontend,High,3,4,9.91
Frontend,High,3,5,7.37
Frontend,High,3,6,7.13
Frontend,High,3,7,7.96
Frontend,High,3,8,6.24
Frontend,High,3,9,7.59
Frontend,High,3,10,6.8
Frontend,High,3,11,5.95
Frontend,High,3,12,4.54
Frontend,High,3,13,3.98
Frontend,High,3,14,4.69
Frontend,High,3,15,3.76
Backend,Low,1,1,2.71
Backend,Low,1,2,2.52
Backend,Low,1,3,2.86
Backend,Low,1,4,1.99
Backend,Low,1,5,2.07
Backend,Low,1,6,2.45
Backend,Low,1,7,1.68
Backend,Low,1,8,1.68
Backend,Low,1,9,2.37
Backend,Low,1,10,1.36
Backend,Low,1,11,1.48
Backend,Low,1,12,1.69
Backend,Low,1,13,1.21
Backend,Low,1,14,1.26
Backend,Low,1,15,0.68
Backend,Medium,2,1,5.9
Backend,Medium,2,2,5.84
Backend,Medium,2,3,5.43
Backend,Medium,2,4,6.1
Backend,Medium,2,5,4.26
Backend,Medium,2,6,5.87
Backend,Medium,2,7,4.36
Backend,Medium,2,8,3.79
Backend,Medium,2,9,4.67
Backend,Medium,2,10,3.84
Backend,Medium,2,11,3.82
Backend,Medium,2,12,3.01
Backend,Medium,2,13,2.34
Backend,Medium,2,14,2.55
Backend,Medium,2,15,1.56
Backend,High,3,1,10.45
Backend,High,3,2,9.66
Backend,High,3,3,11.12
Backend,High,3,4,8.29
Backend,High,3,5,10.94
Backend,High,3,6,9.6
Backend,High,3,7,8.73
Backend,High,3,8,7.13
Backend,High,3,9,7.85
Backend,High,3,10,7.12
Backend,High,3,11,5.64
Backend,High,3,12,4.19
